Game,Model,Opponent,Total_Matches,Win_Rate,Draw_Rate,Loss_Rate,Forfeit_Rate,Illegal_Rate,Format_Error_Rate,Avg_Response_Time_s,Avg_Prompt_Tokens,Avg_Completion_Tokens,Abs_Wins,Abs_Draws,Abs_Losses,Abs_Forfeits,Abs_LLM_Turns,Abs_LLM_Attempts,Abs_Illegal_Moves,Abs_Format_Errors,Abs_Prompt_Tokens,Abs_Completion_Tokens
suicide,Qwen/Qwen3-14B|CarpaMagica/npo-qwen-TTTs-v5.1,greedy,60,0.2,0.1,0.7,0.0,0.4469,0.0973,41.9274,1391.97,2095.55,12,6,42,0,250,452,202,44,83518,125733
suicide,Qwen/Qwen3-14B|CarpaMagica/npo-qwen-TTTs-v5.1,legal,60,0.8667,0.0,0.1333,0.0,0.4488,0.0,39.8436,989.88,1371.9,52,0,8,0,167,303,136,0,59393,82314
suicide,Qwen/Qwen3-14B|CarpaMagica/npo-qwen-TTTs-v5.1,mcs,60,0.0833,0.0,0.9167,0.0,0.4314,0.0996,40.5548,1405.93,2148.82,5,0,55,0,257,452,195,45,84356,128929
suicide,Qwen/Qwen3-14B|CarpaMagica/npo-qwen-TTTs-v5.1,random,60,0.3833,0.15,0.4667,0.0,0.4187,0.131,39.2992,3028.78,4103.6,23,9,28,0,497,855,358,112,181727,246216
notconnectfour,Qwen/Qwen3-14B|CarpaMagica/npo-qwen-n4_v5.1,greedy,60,0.0167,0.0,0.9833,0.0,0.467,0.3258,38.8781,1670.6,2966.98,1,0,59,0,355,666,311,217,100236,178019
notconnectfour,Qwen/Qwen3-14B|CarpaMagica/npo-qwen-n4_v5.1,legal,60,0.5,0.0,0.5,0.0,0.5,0.3571,35.2282,861.0,1696.28,30,0,30,0,210,420,210,150,51660,101777
notconnectfour,Qwen/Qwen3-14B|CarpaMagica/npo-qwen-n4_v5.1,mcs,60,0.0,0.0,1.0,0.0,0.5,0.375,38.5909,1050.6,2042.67,0,0,60,0,248,496,248,186,63036,122560
notconnectfour,Qwen/Qwen3-14B|CarpaMagica/npo-qwen-n4_v5.1,random,60,0.2667,0.0,0.7333,0.0,0.4496,0.352,37.4381,2352.8,4198.1,16,0,44,0,502,912,410,321,141168,251886
suicide,HailNicol/qwen3-14b-suicide-alpha-1_0,legal,60,0.9333,0.0,0.0667,0.0,0.4512,0.2561,55.8331,1007.57,2798.93,56,0,4,0,180,328,148,84,60454,167936
suicide,HailNicol/qwen3-14b-suicide-alpha-1_0,random,60,0.3667,0.05,0.5833,0.1333,0.5785,0.2375,72.1529,1537.1,4417.77,22,3,35,8,220,522,302,124,92226,265066
notconnectfour,HailNicol/qwen3-14b-notconnect4-alpha-0_75,greedy,60,0.1,0.0,0.9,0.0,0.4855,0.4513,31.2123,2116.15,3524.27,6,0,54,0,407,791,384,357,126969,211456
notconnectfour,HailNicol/qwen3-14b-notconnect4-alpha-0_75,legal,60,0.4667,0.0,0.5333,0.0,0.4827,0.4118,31.8137,3145.95,5307.2,28,0,32,0,613,1185,572,488,188757,318432
notconnectfour,HailNicol/qwen3-14b-notconnect4-alpha-0_75,mcs,60,0.0,0.0,1.0,0.0,0.4939,0.4921,31.9471,1269.25,2503.73,0,0,60,0,289,571,282,281,76155,150224
notconnectfour,HailNicol/qwen3-14b-notconnect4-alpha-0_75,random,60,0.2,0.0,0.8,0.0,0.4907,0.484,31.4042,1353.55,2615.87,12,0,48,0,302,593,291,287,81213,156952
notconnectfour,HailNicol/qwen3-14b-notconnect4-alpha-1_0,random,60,0.0,0.0,1.0,1.0,0.8338,0.9114,181.799,1488.0,6162.67,0,0,60,60,122,734,612,669,89280,369760
suicide,HailNicol/qwen3-14b-suicide-alpha-1_0,greedy,60,0.0333,0.0333,0.9333,0.1667,0.5677,0.2323,70.1433,1416.23,4164.77,2,2,56,10,214,495,281,115,84974,249886
suicide,HailNicol/qwen3-14b-suicide-alpha-1_0,mcs,60,0.0,0.0,1.0,0.0333,0.4732,0.2984,57.951,1277.53,3621.73,0,0,60,2,226,429,203,128,76652,217304
